acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.7659198449347243, 0.7061791189406108, 0.21623885971404044, 0.08249965202056499, 1,1, 1
0.759933869220683, 0.6995471500900505, 0.2199103101785446, 0.08302327140278169, 0,0, 0
0.6928339319309047, 0.8484827349813843, 0.29266707357550414, 0.10486344266369155, 2,2, 2
0.7517815403910837, 0.7003290396158032, 0.22886908039271578, 0.08468503172468533, 3,3, 3
0.7199703551678923, 0.7530275216776037, 0.2655228952439395, 0.09424937407218956, 2,2, 2
0.7683142352203409, 0.6433169963120753, 0.21233590580520026, 0.08043216369094981, 2,2, 2
0.7636394732341372, 0.6589162385607896, 0.21647614765639908, 0.08525726467289023, 2,2, 2
0.7651787241320335, 0.641003320994013, 0.21963063297801066, 0.08370427645059181, 1,1, 1
0.7757254432472493, 0.6017714965300406, 0.21317087476412078, 0.07835894687316716, 1,1, 1
0.7636964825266519, 0.659632163953404, 0.2171912798185284, 0.0849803340218465, 1,1, 1
0.7697394675332079, 0.6451258588195806, 0.20970966552241235, 0.08149738912021355, 2,2, 2
0.790376831423522, 0.5612204266125592, 0.19336728880103723, 0.07554054176526613, 1,1, 1
0.8134655948919673, 0.5434197199988544, 0.1692835499662504, 0.07088091930498551, 1,1, 1
0.816031013055128, 0.5845446129721921, 0.17601864473181814, 0.07057540993177977, 1,1, 1
0.793056268171712, 0.5471263274166674, 0.19310447099420752, 0.07789803919457264, 3,3, 3
0.8134655948919673, 0.5050957573620343, 0.16738052847429874, 0.07223060048050396, 3,3, 3
0.7823385211789522, 0.5799305598289165, 0.20244393702758556, 0.07970398784907744, 1,1, 1
0.8024628014366342, 0.5394945983607926, 0.18809043455202318, 0.07413868391006372, 0,0, 0
0.1357961347699675, 2.3061691921321774, 0.8647468500042335, 0.25430221370156614, 0,0, 0
0.11156718545122855, 2.333341001349744, 0.8975110895252059, 0.47476257579560643, 2,2, 2
0.12336810900176728, 2.4281392825940378, 0.8596881385506607, 0.4658828081801869, 2,2, 2
0.13066529844364633, 2.4407941759003045, 0.8745084309634078, 0.4256836354600205, 2,2, 2
0.23482127586796647, 2.3287432614974493, 0.765702362661914, 0.28649331499065533, 1,1, 1
0.3644033977538339, 2.1929948756037074, 0.6383726208934203, 0.20575236029205624, 2,2, 2
0.29126047545749956, 2.098928407384232, 0.6999000787957168, 0.2615117249203854, 2,2, 2
0.26070349466963116, 2.1446743501265013, 0.7449618135222346, 0.28393686535361834, 4,4, 4
0.3655435836041275, 2.0379413019040244, 0.6488488790338561, 0.20953549679554187, 2,4, 2
0.3259791345989396, 2.0007924526143213, 0.6908974460601591, 0.23637126177972498, 3,3, 3
0.32717632974174793, 1.9681038192533507, 0.6821710752055563, 0.22836730348357673, 2,2, 2
0.4522547175189556, 1.7776265996299376, 0.5546352570838758, 0.1755421761836762, 1,1, 1
0.44324724930163617, 1.818252909207968, 0.5595132284570921, 0.17123504663455727, 2,3, 2
0.35203238127814834, 1.8609958222243894, 0.6342454574793468, 0.2461811437172136, 2,2, 2
0.45664443304258595, 1.6380281982175995, 0.5434124017990881, 0.16968384741964773, 2,2, 2
0.44666780685251695, 1.755828011784163, 0.5586996380436067, 0.19896873905800191, 3,4, 3
0.4369762271250214, 1.6800318363692712, 0.5605177663607915, 0.19839796161513193, 2,3, 2
0.5208368964141155, 1.5978268421632074, 0.48263396844723283, 0.15836416384100185, 2,2, 2
0.4709537654637706, 1.672363134425013, 0.5337311719978716, 0.15648093386115858, 2,3, 2
0.4941565475172453, 1.597199110527157, 0.5189412236508917, 0.15722076764246184, 2,2, 2
0.5885069266290406, 1.5226449259099106, 0.4040889605988731, 0.13343126573114733, 2,4, 2
0.4545350892195428, 1.6743394246082894, 0.5462745789794063, 0.16189399537010274, 2,3, 2
0.5493985519639701, 1.7135757138992647, 0.4444368189936184, 0.13989356959417917, 2,4, 2
0.43446781825437547, 1.6861122452331292, 0.5729904605953076, 0.16257463460660307, 2,2, 2
0.363491249073599, 1.6486314580508787, 0.6493577749954109, 0.23772198659954, 1,1, 1
0.514508864944986, 1.4686108352734828, 0.4815604492050421, 0.14253574508322936, 1,1, 1
0.43201641867624424, 1.4468375936980518, 0.5706272977516123, 0.16760807781992731, 1,1, 1
0.507211675503107, 1.554625433895092, 0.4906303740507895, 0.162503301661893, 3,4, 3
0.44615472321988486, 1.7556321666610533, 0.5479887861622864, 0.17996380977313062, 4,5, 4
0.3671968530870532, 1.690803068464087, 0.6462090007713955, 0.2317497401172018, 1,1, 1
0.39547346217433443, 1.5459268636894052, 0.6166813200642423, 0.2200025089570865, 1,1, 1
0.4629724645117154, 1.5105209244882074, 0.5421761847300186, 0.16670116148753586, 1,1, 1
0.5131976512171484, 1.2882994254314601, 0.4918002658353891, 0.1500912239744379, 2,2, 2
0.5261957699104954, 1.2887263126800015, 0.4855045805574461, 0.1496734509590004, 2,2, 2
0.5423864089846645, 1.2438610758443194, 0.4647764271023958, 0.13946829313587655, 3,3, 3
0.6097143834445015, 1.1249826688256368, 0.396448231595057, 0.13837079073303624, 2,2, 2
0.6385610854569295, 1.0187194787267846, 0.3530047387171926, 0.11991685056446995, 1,1, 1
0.6536685479733196, 0.9578742639651545, 0.34143085381885113, 0.11448908364372778, 3,3, 3
0.6659255458639758, 0.9860895562467393, 0.3217739115929243, 0.11050512381300508, 2,2, 2
0.6343423978108431, 0.9378573997460697, 0.36461422805599375, 0.12734954360354775, 2,2, 2
0.5892480474317314, 1.0187913899218983, 0.4134706343915098, 0.13506743920655817, 2,2, 2
0.6768143207342797, 1.047349595836159, 0.31710553791110474, 0.10449244221170899, 2,3, 2
0.6622769511430363, 1.0112678862169031, 0.32708233879380944, 0.11338775987869082, 2,2, 2
0.6874750584345248, 1.1884527959532263, 0.29854694052134834, 0.09992529466040898, 2,3, 2
0.6204321304372613, 1.130761767155285, 0.3722842456303933, 0.11910552458121948, 1,1, 1
0.5163901715979705, 1.2767150614394285, 0.489477164156881, 0.1809157719340051, 3,3, 3
